"Code";"Country_name";"Year";"Fixed_telephone_subscriptions";"Fixed_broadband_subscriptions";"Mobile_cellular_subscriptions";"Number_of_Internet_users"
"KHM";"Cambodia";"2020";55603.0;233772.0;21086800.0;0.0
"KIR";"Kiribati";"2020";33.0;185.0;54661.0;48060.0
"KNA";"Saint Kitts and Nevis";"2020";15000.0;30000.0;78000.0;0.0
"KOR";"South Korea";"2020";23858200.0;22327200.0;70513700.0;50032700.0
"KWT";"Kuwait";"2020";583463.0;73948.0;6770350.0;4321460.0
"LAO";"Laos";"2020";1491000.0;128000.0;4100000.0;2473960.0
"LBN";"Lebanon";"2020";875480.0;432070.0;4288220.0;4762520.0
"LBR";"Liberia";"2020";6000.0;13000.0;1653000.0;1302420.0
"LBY";"Libya";"2020";1576000.0;332000.0;2922000.0;0.0
"LCA";"Saint Lucia";"2020";38000.0;33000.0;203000.0;95538.0
"LIE";"Liechtenstein";"2020";12607.0;18050.0;48887.0;0.0
"LKA";"Sri Lanka";"2020";2607870.0;1781530.0;29730500.0;7600280.0
"LSO";"Lesotho";"2020";11574.0;5060.0;1562650.0;969265.0
"LTU";"Lithuania";"2020";322108.0;796814.0;3672000.0;2342390.0
"LUX";"Luxembourg";"2020";268090.0;235155.0;890000.0;622978.0
"LVA";"Latvia";"2020";211849.0;490569.0;2051360.0;1686480.0
"MAC";"Macao";"2020";110000.0;208000.0;2793000.0;595809.0
"MAR";"Morocco";"2020";2357290.0;2102430.0;49421000.0;30862700.0
"MCO";"Monaco";"2020";43706.0;20877.0;35485.0;0.0
"MDA";"Moldova";"2020";1027690.0;719001.0;3420380.0;0.0
"MDG";"Madagascar";"2020";69000.0;32000.0;15869000.0;0.0
"MDV";"Maldives";"2020";14508.0;63685.0;717708.0;323744.0
"MEX";"Mexico";"2020";24500500.0;21936100.0;122898000.0;90678700.0
"MHL";"Marshall Islands";"2020";0.0;1000.0;16000.0;0.0
"MKD";"North Macedonia";"2020";415390.0;475569.0;1862140.0;1718530.0
"MLI";"Mali";"2020";281638.0;243806.0;25315600.0;5815390.0
"MLT";"Malta";"2020";259456.0;213419.0;633123.0;447639.0
"MMR";"Myanmar";"2020";523951.0;688815.0;78548300.0;18751500.0
"MNE";"Montenegro";"2020";191768.0;184176.0;1080090.0;488204.0
"MNG";"Mongolia";"2020";160153.0;307166.0;4363920.0;2058960.0
"MNP";"Northern Mariana Islands";"2020";20000.0;0.0;0.0;0.0
"MOZ";"Mozambique";"2020";89016.0;70000.0;15463200.0;5144410.0
"MRT";"Mauritania";"2020";62099.0;18457.0;4932570.0;1835430.0
"MUS";"Mauritius";"2020";478700.0;323200.0;1912900.0;842096.0
"MWI";"Malawi";"2020";12465.0;12255.0;10004700.0;0.0
"MYS";"Malaysia";"2020";7467900.0;3358800.0;43723600.0;29732300.0
"NAM";"Namibia";"2020";140370.0;71063.0;2898120.0;1020530.0
"NCL";"New Caledonia";"2020";46000.0;55000.0;260000.0;0.0
"NER";"Niger";"2020";58000.0;12000.0;14239000.0;0.0
"NGA";"Nigeria";"2020";107031.0;65313.0;204229000.0;73956200.0
"NIC";"Nicaragua";"2020";210981.0;290351.0;5976480.0;3053670.0
"NLD";"Netherlands";"2020";4937000.0;7525020.0;21415000.0;15923600.0
"NOR";"Norway";"2020";348808.0;2387660.0;5825580.0;5218440.0
"NPL";"Nepal";"2020";726000.0;1270000.0;38213000.0;11064400.0
"NRU";"Nauru";"2020";0.0;0.0;10000.0;0.0
"NZL";"New Zealand";"2020";858000.0;1764980.0;6148000.0;4630930.0
"OMN";"Oman";"2020";594550.0;508949.0;6276540.0;4326690.0
"PAK";"Pakistan";"2020";2876790.0;2523030.0;175624000.0;56799200.0
"PAN";"Panama";"2020";649156.0;562413.0;5825680.0;2759150.0
"PER";"Peru";"2020";2470000.0;3044000.0;44000000.0;21731400.0
"PHL";"Philippines";"2020";4731200.0;7936570.0;149579000.0;55871100.0
"PLW";"Palau";"2020";8000.0;0.0;24000.0;0.0
"PNG";"Papua New Guinea";"2020";166000.0;21000.0;4818000.0;0.0
"POL";"Poland";"2020";5777430.0;8369220.0;49350700.0;31966600.0
"PRI";"Puerto Rico";"2020";711512.0;671284.0;3483570.0;0.0
"PRK";"North Korea";"2020";1180000.0;0.0;6000000.0;0.0
"PRT";"Portugal";"2020";5212510.0;4160800.0;11855000.0;8059530.0
"PRY";"Paraguay";"2020";249231.0;562369.0;7865050.0;4895030.0
"PSE";"Palestine";"2020";466283.0;376911.0;4274120.0;0.0
"PYF";"French Polynesia";"2020";94000.0;64000.0;335000.0;0.0
"QAT";"Qatar";"2020";454701.0;296126.0;3798510.0;2750810.0
"ROU";"Romania";"2020";3025000.0;5684780.0;22592000.0;15253300.0
"RUS";"Russia";"2020";25892400.0;33893300.0;238733000.0;123767000.0
"RWA";"Rwanda";"2020";11671.0;17685.0;10614400.0;3483790.0
"SAU";"Saudi Arabia";"2020";5749060.0;7890260.0;43215400.0;35226800.0
"SDN";"Sudan";"2020";129408.0;28782.0;35195200.0;12621100.0
"SEN";"Senegal";"2020";228774.0;153813.0;19078900.0;7001790.0
"SGP";"Singapore";"2020";1891000.0;1509700.0;8444800.0;5437340.0
"SLB";"Solomon Islands";"2020";7000.0;1000.0;474000.0;0.0
"SLE";"Sierra Leone";"2020";189.0;0.0;6884200.0;1482120.0
"SLV";"El Salvador";"2020";894000.0;586000.0;9949000.0;3435920.0
"SMR";"San Marino";"2020";16000.0;11000.0;39000.0;0.0
"SOM";"Somalia";"2020";91000.0;119000.0;8844000.0;0.0
"SRB";"Serbia";"2020";2572250.0;1730500.0;8260760.0;5766330.0
"SSD";"South Sudan";"2020";0.0;0.0;1344000.0;689405.0
"STP";"Sao Tome and Principe";"2020";2790.0;2512.0;174203.0;72154.0
"SUR";"Suriname";"2020";103240.0;92270.0;899339.0;425312.0
"SVK";"Slovakia";"2020";648462.0;1701560.0;7289710.0;4906700.0
"SVN";"Slovenia";"2020";704909.0;651604.0;2550900.0;1833910.0
"SWE";"Sweden";"2020";1478610.0;4179570.0;12791800.0;9802760.0
"SWZ";"Eswatini";"2020";39000.0;12000.0;1243000.0;0.0
"SYC";"Seychelles";"2020";18882.0;34966.0;183498.0;83381.0
"SYR";"Syria";"2020";2857190.0;1549350.0;16660300.0;7432440.0
"TCA";"Turks and Caicos Islands";"2020";4000.0;0.0;0.0;0.0
"TCD";"Chad";"2020";5340.0;0.0;8687150.0;1731050.0
"TGO";"Togo";"2020";46499.0;52706.0;6516510.0;2026220.0
"THA";"Thailand";"2020";5003000.0;11478300.0;116294000.0;55639300.0
"TJK";"Tajikistan";"2020";502000.0;6000.0;11584000.0;0.0
"TKM";"Turkmenistan";"2020";717000.0;10000.0;9377000.0;0.0
"TLS";"Timor";"2020";2012.0;75.0;1377920.0;378299.0
"TON";"Tonga";"2020";7000.0;5000.0;62000.0;0.0
"TTO";"Trinidad and Tobago";"2020";323905.0;376771.0;1988000.0;0.0
"TUN";"Tunisia";"2020";1533270.0;1334060.0;14852900.0;8744280.0
"TUR";"Turkey";"2020";12448600.0;16734900.0;82128100.0;65348000.0
"TUV";"Tuvalu";"2020";2000.0;0.0;9000.0;0.0
"TZA";"Tanzania";"2020";72469.0;1135610.0;51220200.0;13575000.0
"UGA";"Uganda";"2020";90774.0;58594.0;27689000.0;8836520.0
"UKR";"Ukraine";"2020";3314260.0;7769400.0;53977700.0;32948900.0
"URY";"Uruguay";"2020";1224600.0;1063700.0;4551280.0;2952440.0
"USA";"United States";"2020";101526000.0;121176000.0;351477000.0;305371000.0
"UZB";"Uzbekistan";"2020";3550070.0;4820010.0;33387000.0;23837500.0
"VCT";"Saint Vincent and the Grenadines";"2020";12483.0;24733.0;97059.0;0.0
"VEN";"Venezuela";"2020";5251180.0;2561560.0;16543800.0;0.0
"VGB";"British Virgin Islands";"2020";7000.0;6738.0;35163.0;0.0
"VIR";"United States Virgin Islands";"2020";76000.0;0.0;80000.0;0.0
"VNM";"Vietnam";"2020";3205780.0;16699200.0;138935000.0;67944000.0
"VUT";"Vanuatu";"2020";3472.0;2785.0;246232.0;0.0
"WSM";"Samoa";"2020";6000.0;1692.0;69000.0;0.0
"YEM";"Yemen";"2020";1240000.0;391000.0;15178000.0;0.0
"ZAF";"South Africa";"2020";2098800.0;1303060.0;95959400.0;41161400.0
"ZMB";"Zambia";"2020";71844.0;82317.0;19104200.0;3747690.0
"ZWE";"Zimbabwe";"2020";252067.0;203461.0;13191700.0;4591210.0
