"Code";"Country_name";"Internet_users";"max_internet_users_year";"Urban_population";"Electricity_access_urban";"GDP"
"NIC";"Nicaragua";45.20000076;"2020";59.01200104;100.0;5280.1
"NPL";"Nepal";37.70000076;"2020";20.57600021;94.19999695;3800.07
"NZL";"New Zealand";91.5;"2020";86.6989975;100.0;42774.7
"OMN";"Oman";95.23000336;"2020";86.27600098;100.0;29502.1
"PAK";"Pakistan";25.0;"2020";37.16500092;100.0;4562.62
"PAN";"Panama";64.25;"2020";68.41400146;99.68539429;25389.8
"PER";"Peru";65.25;"2020";78.29699707;100.0;11260.8
"PHL";"Philippines";49.79999924;"2020";47.40800095;98.23407745;7953.58
"POL";"Poland";83.18489075;"2020";60.04299927;100.0;32398.7
"PRT";"Portugal";78.26165771;"2020";66.30999756;100.0;31961.8
"PRY";"Paraguay";73.9575119;"2020";62.18299866;100.0;12389.6
"QAT";"Qatar";99.65284729;"2020";99.23500061;100.0;85290.5
"ROU";"Romania";78.45526886;"2020";54.19400024;100.0;28870.9
"RUS";"Russia";84.99466705;"2020";74.7539978;100.0;26456.4
"RWA";"Rwanda";26.5;"2020";17.43199921;86.40000153;2098.71
"SAU";"Saudi Arabia";97.86000061;"2020";84.28700256;100.0;44328.2
"SDN";"Sudan";28.39999962;"2020";35.25299835;81.51765442;3927.04
"SEN";"Senegal";42.59999847;"2020";48.12200165;95.17642975;3320.68
"SGP";"Singapore";92.00434875;"2020";100.0;100.0;93397.0
"SLE";"Sierra Leone";18.0;"2020";42.92300034;54.69330978;1637.3
"SLV";"El Salvador";54.60137177;"2020";73.44400024;100.0;7982.63
"SRB";"Serbia";78.36804199;"2020";56.44599915;100.0;18255.1
"SSD";"South Sudan";6.5;"2020";20.1989994;13.86866856;0.0
"STP";"Sao Tome and Principe";33.0;"2020";74.35399628;78.44978333;4051.6
"SUR";"Suriname";70.05999756;"2020";66.14900208;98.9808197;15864.5
"SVK";"Slovakia";89.92090607;"2020";53.75999832;100.0;30509.8
"SVN";"Slovenia";86.6013031;"2020";55.11800003;100.0;37050.6
"SYC";"Seychelles";79.0;"2020";57.54600143;100.0;24427.7
"SYR";"Syria";35.77999878;"2020";55.47499847;100.0;0.0
"TCD";"Chad";10.39999962;"2020";23.52000046;40.6244545;1519.04
"TGO";"Togo";24.0;"2020";42.79999924;94.14375305;2107.88
"THA";"Thailand";77.84374237;"2020";51.43000031;100.0;17284.7
"TLS";"Timor";29.10000038;"2020";31.31999969;100.0;3925.95
"TUN";"Tunisia";71.90000153;"2020";69.56800079;100.0;10260.1
"TUR";"Turkey";77.66999817;"2020";76.10500336;100.0;28393.5
"TZA";"Tanzania";22.0;"2020";35.22700119;72.90000153;2635.36
"UGA";"Uganda";19.89999962;"2020";24.95400047;69.8710022;2175.03
